aberdeen|a-ber-de-en|(~ - Angus) Una de las principales razas de ganado para carne;;;
aberdeen|a-ber-de-en|(~-Angus) Una de las principales razas de ganado para carne;;;
Aberdeen|a-ber-de-en|(~-Angus) Una de las principales razas de ganado para carne;;;
aberrante|a-be-rran-te|Que se separa de la norma o regla general;;;
aberrar|a-be-rrar|Errar, equivocarse;;;
abertal|a-ber-tal|Campo rústico que no está cerrado de ninguna manera;;;
abertura|a-ber-tu-ra|Hueco practicado en una fachada, como una puerta, una ventana, etc.;;;
abertura|a-ber-tu-ra|Hueco practicado en una fachada, como una ventana, un balcón, etc.;;;
abetal|a-be-tal|Sitio poblado de abetos;;;
abetunado|a-be-tu-na-do|Parecido al betún;;;
abicharse|a-bi-char-se|Argent., Urug. Agusanarse la fruta;;;
abierto|a-bier-to|No cerrado;;;
abigarrar|a-bi-ga-rrar|Poner a una cosa varios colores combinados en desorden;;;
abigeato|a-bi-ge-a-to|Der. Hurto de ganado o bestias;;;
abigeo|a-bi-ge-o|El que hurta ganado o bestias;;;
abiólogo|a-bió-lo-go|Persona que se dedica al estudio de la vida inorgánica;;;
abipones|a-bi-po-nes|Pueblo indígena, ya extinguido, del Chaco argentino;;;
abiselar|a-bi-se-lar|Hacer biseles en un cristal, una moldura, etc.;;;
abisinia|a-bi-si-nia|Nombre con que antiguamente se conocía a Etiopía;;;
Abisinia|a-bi-si-nia|Nombre con que antiguamente se conocía a Etiopía;;;
abisinio|a-bi-si-nio|De Abisinia, actual Etiopía, nación del nordeste de África;;;
abismado|a-bis-ma-do|Ensimismado, reconcentrado;;;
abismal|a-bis-mal|Profundo, insondable, incomprensible;;;
abismo|a-bis-mo|Profundidad grande, imponente y peligrosa;;;
ablación|a-bla-ción|Med. Separación o extirpación de cualquier parte del cuerpo;;;
ablactado|a-blac-ta-do|Que se le ha incorporado leche;;;
ablactar|ab-lac-tar|Incorporar leche a una salsa o masa;;;
ablandar|a-blan-dar|Poner blanda una cosa;;;
ablande|a-blan-de|Argent., Urug. Rodaje de un automóvil;;;
ablandece|a-blan-de-ce|Ablanda, pone blando;;;
ablepsia|a-blep-sia|Pérdida de la vista;;;
abluente|a-bluen-te|Que tiene la virtud de limpiar o purificar;;;
abnegado|ab-ne-ga-do|Sacrificado, que tiene abnegación;;;
abobado|a-bo-ba-do|Que parece bobo;;;
abocado|a-bo-ca-do|Vino que no es seco ni dulce, pero agradable al gusto;;;
abocado|a-bo-ca-do|Vino que no es seco ni dulce, pero agradable al gusto por su suavidad;;;
abocardar|a-bo-car-dar|Ensanchar la boca de un tubo o de un agujero;;;
abocelado|a-bo-ce-la-do|Que tiene forma de bocel;;;
abocelar|a-bo-ce-lar|Caer de bruces;;;
abocetar|a-bo-ce-tar|Hacer el boceto de un cuadro o escultura;;;
abochorna|a-bo-chor-na|Causa bochorno a uno.// Fig. Sonroja;;;
abofetear|a-bo-fe-te-ar|Dar bofetadas a uno;;;
abogacía|a-bo-ga-cí-a|Profesión y ejercicio de abogado;;;
abogadil|a-bo-ga-dil|Desp. Propio de abogados;;;
abogado|a-bo-ga-do|Licenciado en derecho;;;
abogar|a-bo-gar|Defender en juicio.// Fig. Interceder, hablar en favor de alguien;;;
abolengo|a-bo-len-go|Ascendencia de abuelos o antepasados;;;
abolible|a-bo-li-ble|Que puede ser abolido;;;
abolición|a-bo-li-ción|Acción y efecto de abolir;;;
abolir|a-bo-lir|Derogar, dejar sin vigor un precepto, una ley, etc.;;;
abollado|a-bo-lla-do|Adorno de bollos en los metales y vestidos;;;
abollar|a-bo-llar|Hacer a una cosa uno o varios bollos;;;
abollonar|a-bo-llo-nar|Repujar una pieza formando bollones;;;
abolsado|a-bol-sa-do|Que hace o forma bolsas;;;
abolsarse|a-bol-sar-se|Tomar figura de bolsa;;;
abomaso|a-bo-ma-so|Cuajar, última de las cuatro cavidades en que se divide el estómago de los rumiantes;;;
abombado|a-bom-ba-do|Amér. Que está achispado, ebrio, aturdido o atontado;;;
abombado|a-bom-ba-do|Amér. Que está achispado, ebrio, aturdido o entontecido;;;
abombar|a-bom-bar|Dar o adquirir forma convexa alguna cosa;;;
abombarse|a-bom-bar-se|Fig. Aturdirse por ruido, exceso en la bebida, etc.;;;
abominar|a-bo-mi-nar|Aborrecer, tener aversión por una persona o cosa;;;
abonado|a-bo-na-do|Persona que ha tomado un abono;;;
abonanzar|a-bo-nan-zar|Calmarse la tormenta o serenarse el tiempo;;;
abono|a-bo-no|Sustancia mineral u orgánica que se añade a la tierra para fertilizarla;;;
abordaje|a-bor-da-je|Acción de pasar la gente de un buque a otro;;;
abordona|a-bor-do-na|Anda apoyándose en un bordón;;;
abordonar|a-bor-do-nar|Andar apoyándose en un bordón;;;
aborigen|a-bo-ri-gen|Primitivo morador de un país;;;
aborrecer|a-bo-rre-cer|Tener aversión a alguna persona o cosa;;;
abotinado|a-bo-ti-na-do|Hecho en figura de botín;;;
abotona|a-bo-to-na|Ajusta una prenda de vestir con botones;;;
abotonado|a-bo-to-na-do|Ajustado con botones;;;
abotonar|a-bo-to-nar|Ajustar una prenda de vestir con botones;;;
abovado|a-bo-va-do|Que tiene su parte más ancha por encima de la central;;;
abovedado|a-bo-ve-da-do|Corvo, combado, con forma de bóveda;;;
abovedar|a-bo-ve-dar|Dar figura de bóveda;;;
abozalado|a-bo-za-la-do|Que tiene puesto bozal;;;
abozalar|a-bo-za-lar|Poner bozal a un animal;;;
abranquio|a-bran-quio|Que carece de branquias;;;
abrasado|a-bra-sa-do|Reducido a brasa;;;
abrasador|a-bra-sa-dor|Que destruye o deteriora por exceso de calor;;;
abrasante|a-bra-san-te|Que produce demasiado calor;;;
abrasar|a-bra-sar|Reducir alguna cosa a brasa;;;
abrasión|a-bra-sión|Acción de quitar o arrancar algo por fricción;;;
abrasivo|a-bra-si-vo|Material duro que sirve para pulir, cortar o afilar;;;
abrazador|a-bra-za-dor|Que abraza;;;
abrazar|a-bra-zar|Estrechar a uno entre los brazos en señal de cariño;;;
abrelatas|a-bre-la-tas|Instrumento para abrir las latas de conservas;;;
abrepuño|a-bre-pu-ño|Planta ranunculácea, con hojas superiores muy divididas y flores amarillas;;;
abrevar|a-bre-var|Dar de beber al ganado;;;
abreviar|a-bre-viar|Acortar, reducir a menos tiempo y espacio;;;
abriboca|a-bri-bo-ca|Persona muy distraída que no advierte lo que sucede o se dice a su lado;;;
abridero|a-bri-de-ro|Que se abre fácilmente;;;
abridor|a-bri-dor|Abrebotellas, abrelatas;;;
abrigado|a-bri-ga-do|Protegido o resguardado del frío;;;
abrigar|a-bri-gar|Defender, proteger, resguardar del viento, del frío, etc.;;;
abrigo|a-bri-go|Defensa contra el frío;;;
abrileño|a-bri-le-ño|Propio del mes de abril;;;
abrileños|a-bri-le-ños|Propios del mes de abril;;;
abriles|a-bri-les|Fig. Años de la primera juventud;;;
abrir|a-brir|Tirar hacia afuera de un cajón sin sacarlo del todo;;;
abrochar|a-bro-char|Cerrar o ajustar una prenda de vestir con broches, botones, etc.;;;
abrojal|a-bro-jal|Terreno poblado de abrojos;;;
abrumado|a-bru-ma-do|Agobiado.// Fig. Molesto por recibir demasiadas alabanzas;;;
abrumador|a-bru-ma-dor|Fig. Que causa gran molestia a uno prodigándole alabanzas, atenciones, burlas, etc.;;;
abrumar|a-bru-mar|Fig. Causar gran molestia a uno prodigándole alabanzas, atenciones, burlas, etc.;;;
abrupcion|a-brup-cion|Cir. Desgarro, fractura, separación;;;
abrupción|a-brup-ción|Cir. Desgarro, fractura, separación;;;
absceso|abs-ce-so|Acumulación de pus en un tejido orgánico;;;
abscisa|abs-ci-sa|Coordenada horizontal en un plano cartesiano rectangular;;;
abscisión|abs-ci-sión|Separación de una parte pequeña de un cuerpo con instrumento cortante;;;
absoluto|ab-so-lu-to|(En ~) No, de ningún modo;;;
absoluto|ab-so-lu-to|(En) No, de ningún modo;;;
absolver|ab-sol-ver|Perdonar algún cargo a un reo;;;
absorber|ab-sor-ber|Aspirar los tejidos orgánicos las sustancias que contribuyen a la nutrición;;;
